Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
,1.55713,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.23032,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.21450,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Natural gas,2575.46441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.06672,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.20270,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18296,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Natural gas (100% mineral blend),2603.30441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.08906,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.20489,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18494,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Other petroleum gas,2578.24647,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.94442,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.19917,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18323,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Propane,2997.63233,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
Propane,1.54358,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
Propane,0.23258,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
Propane,0.21410,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Burning oil,3165.04181,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.54016,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.25975,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
